Código,Nombre,Duración,Correlativas,Contacto
CNE,Expresión de Problemas y Algoritmos,6 Semanas,,
CNC,Conceptos de Organización de Computadoras,6 Semanas,,
CNM,Matemática 0,6 Semanas,,
PRIMER SEMESTRE,PRIMER SEMESTRE,PRIMER SEMESTRE,PRIMER SEMESTRE,PRIMER SEMESTRE
SI106,"Conceptos de Algoritmos, Datos y Programas",Semestral,CNE,
SI104,Organización de Computadoras,Semestral,CNC,
SI101,Matemática 1,Semestral,CNM,
SEGUNDO SEMESTRE,SEGUNDO SEMESTRE,SEGUNDO SEMESTRE,SEGUNDO SEMESTRE,SEGUNDO SEMESTRE
SI107,Taller de Programación,Semestral,SI106,
SI105,Arquitectura de Computadoras,Semestral,SI104,
SI102,Matemática 2,Semestral,SI101,
SEGUNDO AÑO,SEGUNDO AÑO,SEGUNDO AÑO,SEGUNDO AÑO,SEGUNDO AÑO
TERCER SEMESTRE,TERCER SEMESTRE,TERCER SEMESTRE,TERCER SEMESTRE,TERCER SEMESTRE
SI209,Fundamentos de Organización de Datos,Semestral,SI107,
SI203,Algoritmos y Estructuras de Datos,Semestral,"SI102, SI107",
SI207,"Seminario de Lenguajes (Javascript – Android + Kotlin – PHP, React y API Rest – Go – Rust – .NET – Python )",Semestral,SI107,
CUARTO SEMESTRE,CUARTO SEMESTRE,CUARTO SEMESTRE,CUARTO SEMESTRE,CUARTO SEMESTRE
SI210,Diseño de Bases de Datos,Semestral,SI209,
SI202,Ingeniería de Software 1,Semestral,SI107,
SI206,Orientación a Objetos 1,Semestral,SI107,
SI204,Introducción a los Sistemas Operativos,Semestral,"SI107, SI105",
SI208,Taller de lecto-comprensión y Traducción en Inglés (Se debe tener aprobada para cursar 3er año),Semestral,,
TERCER AÑO,TERCER AÑO,TERCER AÑO,TERCER AÑO,TERCER AÑO
QUINTO SEMESTRE,QUINTO SEMESTRE,QUINTO SEMESTRE,QUINTO SEMESTRE,QUINTO SEMESTRE
SI302,Ingeniería de Software 2,Semestral,"SI202, SI208",
SI307,Orientación a Objetos 2,Semestral,"SI206, SI208",
AT310,Redes y Comunicaciones ATIC,Semestral,"SI102, SI204, SI208",
AT311,Programación Concurrente ATIC,Semestral,"SI204, SI207, SI208",
SEXTO SEMESTRE,SEXTO SEMESTRE,SEXTO SEMESTRE,SEXTO SEMESTRE,SEXTO SEMESTRE
PPS ATIC,Práctica Profesional Supervisada ATIC,Temas posibles,"SI210, SI203, SI204, SI206, SI302",
ELEGIR DOS OPTATIVAS SEGÚN LA ORIENTACIÓN,ELEGIR DOS OPTATIVAS SEGÚN LA ORIENTACIÓN,ELEGIR DOS OPTATIVAS SEGÚN LA ORIENTACIÓN,ELEGIR DOS OPTATIVAS SEGÚN LA ORIENTACIÓN,ELEGIR DOS OPTATIVAS SEGÚN LA ORIENTACIÓN
,,,,
ORIENTACIÓN APLICACIONES WEB,ORIENTACIÓN APLICACIONES WEB,ORIENTACIÓN APLICACIONES WEB,ORIENTACIÓN APLICACIONES WEB,ORIENTACIÓN APLICACIONES WEB
I19,Ingeniería de Aplicaciones Web,Semestral,SI307,
I10,Calidad en Sistemas de Software,Semestral,SI302,
I23,Métodos ágiles para Aplicaciones Web,Semestral,"SI302, SI206",
ORIENTACIÓN CLOUD COMPUTING Y BIG DATA,ORIENTACIÓN CLOUD COMPUTING Y BIG DATA,ORIENTACIÓN CLOUD COMPUTING Y BIG DATA,ORIENTACIÓN CLOUD COMPUTING Y BIG DATA,ORIENTACIÓN CLOUD COMPUTING Y BIG DATA
A22,Cloud Computing y Cloud Robotics,Semestral,AT311,
A23,Conceptos y Aplicaciones de Big Data,Semestral,AT311,
A18,Taller de programación sobre GPU,Semestral,AT311,
ORIENTACIÓN APLICACIONES MÓVILES,ORIENTACIÓN APLICACIONES MÓVILES,ORIENTACIÓN APLICACIONES MÓVILES,ORIENTACIÓN APLICACIONES MÓVILES,ORIENTACIÓN APLICACIONES MÓVILES
I13,Introducción a la Computación Móvil,Semestral,"SI302, AT310",
I24,Enfoques para el desarrollo de Aplicaciones Móviles Multiplataforma,Semestral,"SI210, SI302, SI307",
I25,Diseño de Interacciones en Aplicaciones Móviles,Semestral,"SI202, SI206, SI208",
ORIENTACIÓN SEGURIDAD Y PRIVACIDAD,ORIENTACIÓN SEGURIDAD Y PRIVACIDAD,ORIENTACIÓN SEGURIDAD Y PRIVACIDAD,ORIENTACIÓN SEGURIDAD Y PRIVACIDAD,ORIENTACIÓN SEGURIDAD Y PRIVACIDAD
O01,Seguridad y Privacidad en Redes,Semestral,AT310,
O20,Introducción a la Ciberseguridad,Semestral,AT310,
O25,Introducción a la Forensia Digital,Semestral,"SI208, SI204",
