Código,Nombre,Duración,Correlativas,Contacto
CNE,Expresión de Problemas y Algoritmos,6 Semanas,,
CNC,Conceptos de Organización de Computadoras,6 Semanas,,
CNM,Matemática 0,6 Semanas,,
PRIMER SEMESTRE,PRIMER SEMESTRE,PRIMER SEMESTRE,PRIMER SEMESTRE,PRIMER SEMESTRE
SI106,"Conceptos de Algoritmos, Datos y Programas",Semestral,CNE,
SI104,Organización de Computadoras,Semestral,CNC,
SI101,Matemática 1,Semestral,CNM,
SEGUNDO SEMESTRE,SEGUNDO SEMESTRE,SEGUNDO SEMESTRE,SEGUNDO SEMESTRE,SEGUNDO SEMESTRE
SI107,Taller de Programación,Semestral,SI106,
SI105,Arquitectura de Computadoras,Semestral,SI104,
SI102,Matemática 2,Semestral,SI101,
SEGUNDO AÑO,SEGUNDO AÑO,SEGUNDO AÑO,SEGUNDO AÑO,SEGUNDO AÑO
TERCER SEMESTRE,TERCER SEMESTRE,TERCER SEMESTRE,TERCER SEMESTRE,TERCER SEMESTRE
SI209,Fundamentos de Organización de Datos,Semestral,SI107,
SI203,Algoritmos y Estructuras de Datos,Semestral,"SI102, SI107",
SI207,"Seminario de Lenguajes (Javascript –Android + Kotlin – PHP, React y API Rest – Go – Rust – .NET – Python )",Semestral,SI107,
CUARTO SEMESTRE,CUARTO SEMESTRE,CUARTO SEMESTRE,CUARTO SEMESTRE,CUARTO SEMESTRE
SI210,Diseño de Bases de Datos,Semestral,SI209,
SI202,Ingeniería de Software 1,Semestral,SI107,
SI206,Orientación a Objetos 1,Semestral,SI107,
SI204,Introducción a los Sistemas Operativos,Semestral,"SI107, SI105",
SI208,Taller de lecto-comprensión y Traducción en Inglés (Se debe tener aprobada para cursar 3er año),Semestral,,
TERCER AÑO,TERCER AÑO,TERCER AÑO,TERCER AÑO,TERCER AÑO
QUINTO SEMESTRE,QUINTO SEMESTRE,QUINTO SEMESTRE,QUINTO SEMESTRE,QUINTO SEMESTRE
SI308,Matemática 3,Semestral,SI102,
SI302,Ingeniería de Software 2,Semestral,"SI202, SI208",
SI307,Orientación a Objetos 2,Semestral,"SI206, SI208",
SEXTO SEMESTRE,SEXTO SEMESTRE,SEXTO SEMESTRE,SEXTO SEMESTRE,SEXTO SEMESTRE
SI301,Programación Concurrente,Semestral,"SI204, SI207, SI208",
SI305,Proyecto de Software,Semestral,"SI210, SI202, SI203, SI207, SI208, SI206",
O7301,"Taller de Tecnologías de Producción de Software (Opción A, Opción B, Opción C, Opción D, Opción E)",Semestral,"SI210, SI203, SI204, SI206, SI208, SI302",
ELEGIR UNA ASIGNATURA DE LAS SIGUIENTES,ELEGIR UNA ASIGNATURA DE LAS SIGUIENTES,ELEGIR UNA ASIGNATURA DE LAS SIGUIENTES,ELEGIR UNA ASIGNATURA DE LAS SIGUIENTES,ELEGIR UNA ASIGNATURA DE LAS SIGUIENTES
SI306,Conceptos y Paradigmas de Lenguajes de Programación (Quinto Semestre),Semestral,"SI203, SI207, SI208",
SI304,Redes y Comunicaciones (Sexto Semestre),Semestral,"SI102, SI204, SI208",
SO303,Bases de Datos 1 (Sexto Semestre),Semestral,"SI210, SI208",
SO410,Sistemas y Organizaciones (Sexto Semestre),Semestral,"SI210, SI202, SI208",
