Código,Nombre,Duración,Correlativas,Contacto
CNE,Expresión de Problemas y Algoritmos,6 Semanas,,
CNC,Conceptos de Organización de Computadoras,6 Semanas,,
CNM,Matemática 0,6 Semanas,,
PRIMER SEMESTRE,PRIMER SEMESTRE,PRIMER SEMESTRE,PRIMER SEMESTRE,PRIMER SEMESTRE
SI106,"Conceptos de Algoritmos, Datos y Programas",Semestral,CNE,
SI104,Organización de Computadoras,Semestral,CNC,
SI101,Matemática 1,Semestral,CNM,
SEGUNDO SEMESTRE,SEGUNDO SEMESTRE,SEGUNDO SEMESTRE,SEGUNDO SEMESTRE,SEGUNDO SEMESTRE
SI107,Taller de Programación,Semestral,SI106,
SI105,Arquitectura de Computadoras,Semestral,SI104,
SI102,Matemática 2,Semestral,SI101,
SEGUNDO AÑO,SEGUNDO AÑO,SEGUNDO AÑO,SEGUNDO AÑO,SEGUNDO AÑO
TERCER SEMESTRE,TERCER SEMESTRE,TERCER SEMESTRE,TERCER SEMESTRE,TERCER SEMESTRE
SI209,Fundamentos de Organización de Datos,Semestral,SI107,
SI203,Algoritmos y Estructuras de Datos,Semestral,"SI102, SI107",
SI207,"Seminario de Lenguajes (Javascript – Android + Kotlin – PHP, React y API Rest – Go – Rust – .NET – Python )",Semestral,SI107,
CUARTO SEMESTRE,CUARTO SEMESTRE,CUARTO SEMESTRE,CUARTO SEMESTRE,CUARTO SEMESTRE
SI210,Diseño de Bases de Datos,Semestral,SI209,
SI202,Ingeniería de Software 1,Semestral,SI107,
SI206,Orientación a Objetos 1,Semestral,SI107,
SI204,Introducción a los Sistemas Operativos,Semestral,"SI107, SI105",
SI208,Taller de lecto-comprensión y Traducción en Inglés,Semestral,,
TERCER AÑO,TERCER AÑO,TERCER AÑO,TERCER AÑO,TERCER AÑO
QUINTO SEMESTRE,QUINTO SEMESTRE,QUINTO SEMESTRE,QUINTO SEMESTRE,QUINTO SEMESTRE
SI308,Matemática 3,Semestral,SI102,
SI302,Ingeniería de Software 2,Semestral,"SI202, SI208",
SI306,Conceptos y Paradigmas de Lenguajes de Programación,Semestral,"SI203, SI207, SI208",
SI307,Orientación a Objetos 2,Semestral,"SI206, SI208",
SEXTO SEMESTRE,SEXTO SEMESTRE,SEXTO SEMESTRE,SEXTO SEMESTRE,SEXTO SEMESTRE
SI304,Redes y Comunicaciones,Semestral,"SI102, SI204, SI208",
SI301,Programación Concurrente,Semestral,"SI204, SI207, SI208",
SI305,Proyecto de Software,Semestral,"SI210, SI202, SI203, SI206, SI207, SI208",
S0303,Bases de Datos 1,Semestral,"SI210, SI208",
CUARTO AÑO,CUARTO AÑO,CUARTO AÑO,CUARTO AÑO,CUARTO AÑO
SÉPTIMO SEMESTRE,SÉPTIMO SEMESTRE,SÉPTIMO SEMESTRE,SÉPTIMO SEMESTRE,SÉPTIMO SEMESTRE
S0407,Fundamentos de la Teoría de la Computación,Semestral,"SI308, SI306",
SI403,Sistemas Operativos,Semestral,SI304,
SI405,Bases de Datos 2,Semestral,S0303,
S0406,Ingeniería de Software 3,Semestral,"SI308, SI202",
OCTAVO SEMESTRE,OCTAVO SEMESTRE,OCTAVO SEMESTRE,OCTAVO SEMESTRE,OCTAVO SEMESTRE
S0410,Sistemas y Organizaciones,Semestral,"SI210, SI202, SI208",
SI409,Matemática 4,Semestral,SI308,
S0408,Desarrollo de Software en Sistemas Distribuidos,Semestral,"SI301, S0303, SI304",
,Optativa 1 LS,Semestral,Ver Optativas,
QUINTO AÑO,QUINTO AÑO,QUINTO AÑO,QUINTO AÑO,QUINTO AÑO
NOVENO SEMESTRE,NOVENO SEMESTRE,NOVENO SEMESTRE,NOVENO SEMESTRE,NOVENO SEMESTRE
SI504,Aspectos Sociales y Profesionales de la Informática,Semestral,SI305,
SI505,"Aspectos Éticos, Sociales y Profesionales Avanzados de Informática",Semestral,SI305,
,Optativa 2 LS,Semestral,Ver Optativas,
0I503,Tesina de Licenciatura en Sistemas,,Tener aprobados todos los exámenes finales de 1º y 2º año y al menos 2 (dos) exámenes finales más,
