TÍTULO,SEM,CORRELATIVAS,PRESENTACIÓN,Unnamed: 4
"Aspectos Éticos, Sociales y Profesionales Avanzados de Informática",1º,SI305,,
Bases de Datos I,2º,"SI210, SI208",,
Calidad en Sistemas de Software,2º,SI302,,
Cloud Computing y Cloud Robotics,2º,SI301,,
Conceptos y Aplicaciones de Big Data,2º,SI301,,
Desarrollo de Software en Sistemas Distribuidos,2º,"SI301, SI304, SO303",,
Diseño de Interacciones en Aplicaciones Móviles,2º,"SI202, SI206, SI208",,
Enfoques para el Desarrollo de Aplicaciones Móviles Multiplataforma,2º,"SI210, SI302, SI307",,
Ingeniería de Aplicaciones Web,2º,SI307,,
Introducción a la Ciberseguridad,2º,SI304,,
Introducción a la Computación Móvil,2º,"SI302, SI304",,
Introducción a la Forensia Digital,2º,SI403,,
Métodos Ágiles para Aplicaciones Web,2º,"SI302, SI206, SI208",,
Programación en Lógica,2º,SI306,,
Programación Funcional,2º,SI306,,
Seguridad y Privacidad en Redes,2º,"SI403, SI304",,
Sistemas y Organizaciones,2º,"SI210, SI202, SI208",,
Taller de Programación sobre GPU,2º,SI301,,
Asignaturas elegibles como optativas en LI adicionales,Asignaturas elegibles como optativas en LI adicionales,Asignaturas elegibles como optativas en LI adicionales,Asignaturas elegibles como optativas en LI adicionales,Asignaturas elegibles como optativas en LI adicionales
Aprendizaje Automático Profundo (Deep Learning),2º,"SI203, SI308",,
Desarrollo de Software para Blockchain,2º,"SI307, SI204, SI203",,
Desarrollo Seguro de Aplicaciones,1º,SI305,,
Internet de las Cosas,1º,SI305,,
"Introducción a Blockchain, Criptomonedas y Smart Contracts",1º,"SI307, SI204, SI203",–,
Java y Aplicaciones Avanzadas sobre Internet,1º,SI305,,
Minería de Datos usando Sistemas Inteligentes,1º,"SI203, SI308",,
Patrones de Arquitecturas de Software,1º,"SI305, SI307, SI302",–,
"Tecnología, Ambiente y Sociedad",1º,SI304,,
Web Semántica y Grafos de Conocimiento,1º,"SI307, SI203",,
Tecnologías Aplicadas para Business Intelligence,2º,SI305,,
Optativas ofrecidas por el Departamento de Matemática de la Facultad de Ciencias Exactas,a confirmar,–,,
